n,dc_mean_time_s,dc_std_time_s,avg_skyline_points,naive_mean_time_s,naive_std_time_s
100,0.0006473458000000002,2.0446446132274427e-05,119.22,0.0024983184399999998,3.36119397929724e-05
200,0.0014010624000000001,2.4478352250100502e-05,158.74,0.009594318320000001,9.4896924571124e-05
400,0.002987385020000002,3.9541630056177485e-05,173.5,0.03841077742000001,0.0004032653553020438
800,0.006191708380000001,0.00022058886763278782,173.7,0.14579372077999994,0.008350208250570357
1600,0.012333939940000004,0.00011799843896160837,173.7,,
3200,0.024782551660000006,0.0003159673596323904,166.08,,
