n,mean_time_s,std_time_s,avg_tasks_scheduled
200,0.00011870457999999998,4.226995138819063e-06,200.0
400,0.00024206916999999987,6.747839722540834e-06,400.0
800,0.0004966645300000001,8.077059773772878e-06,800.0
1600,0.0010141896299999998,1.6614362642999587e-05,1600.0
3200,0.002087477850000001,2.6074655168717003e-05,3200.0
6400,0.0042837763,5.6944888110610934e-05,6400.0
